TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  7.3229E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.2684E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.1562E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.0490E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  8.5611E-01  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  3.0175E+00  1.0000E+10
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.8771E+00  1.0000E+00
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.8771E+00  1.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  8.3100E+00  8.5612E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.1008E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.1008E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  7.1147E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.2758E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.3165E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.3165E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.5187E+00  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  1.1906E+00  1.0000E+10
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  2.8736E+00  1.0000E+00
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  2.8736E+00  1.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  8.3100E+00  6.8099E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.0358E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  7.4657E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.4135E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.4135E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.1555E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.1514E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  2.9837E+00  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  2.9231E+00  1.0000E+10
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.9176E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.1625E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.1625E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9582E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9582E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9582E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9582E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  2.9302E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  8.3825E-01  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  8.3825E-01  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  2.8306E+00  1.0000E+10
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.7869E+00  1.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  8.3100E+00  8.6587E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.1716E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.1716E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.3243E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.3243E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.2928E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.2928E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  1.0774E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  1.0774E+00  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  8.6810E-01  1.0000E+10
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  2.1741E+00  1.0000E+00
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  2.1741E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  7.8408E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.7115E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.0685E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.0685E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.0685E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  6.4276E-01  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  6.4276E-01  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  6.4276E-01  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  3.0281E+00  1.0000E+10
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.9101E+00  1.0000E+00
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.9101E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9342E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9342E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.0140E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.1424E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.1276E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.1276E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  9.8823E-01  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  9.8823E-01  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  1.7282E+00  1.0000E+10
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  3.9461E+00  1.0000E+00
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  6.0308E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.1715E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  7.1524E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  7.1524E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.1440E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.1440E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.1440E+00  1.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  4.5500E+00  4.1132E+00  1.0000E+00
  1.2000E+01  2.0000E+00  0.0000E+00  3.0100E+00  3.0395E+00  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  2.8953E+00  1.0000E+10
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  7.7709E+00  1.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  8.3100E+00  8.5342E+00  1.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  8.3100E+00  8.5342E+00  1.0000E+00
  1.9200E+00  2.0000E+00  0.0000E+00  8.3300E+00  8.0524E+00  1.0000E+00
  3.5000E+00  2.0000E+00  0.0000E+00  6.8500E+00  6.9755E+00  1.0000E+00
  5.0200E+00  2.0000E+00  0.0000E+00  6.0800E+00  6.0701E+00  1.0000E+00
  7.0300E+00  2.0000E+00  0.0000E+00  5.4000E+00  5.0508E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  1.0408E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  1.0408E+00  1.0000E+00
  2.4300E+01  2.0000E+00  0.0000E+00  9.0000E-01  1.0408E+00  1.0000E+00
TABLE NO.  1
 TIME        CAT         DOSE        CP          IPRED       W
  0.0000E+00  1.0000E+00  3.2000E+02  0.0000E+00  0.0000E+00  1.0000E+00
  1.0000E-01  3.0000E+00  0.0000E+00  3.0000E+00  1.9051E+00  1.0000E+10
  2.7000E-01  2.0000E+00  0.0000E+00  1.7100E+00  4.3973E+00  1.0000E+00
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  6.8097E+00  1.0000E+00
  5.2000E-01  2.0000E+00  0.0000E+00  7.9100E+00  6.8097E+00  1.0000E+00
